ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9788471121790,Amistades infantiles,Zick Rubin,1985,Ediciones Morata,Family & Relationships,"las amistades ocupan -tanto en la realidad como en la fantasía- una gran parte de las horas activas de los niños. Con frecuencia constituyen sus mayores alegrías y sus más profundas frustraciones. Padres y profesores saben muy bien cuán importantes son los amigos para los niños, pero sólo recientemente se ha investigado este tema con seriedad. En este libro (volumen 13 de la serie El DESARROLLO EN El NIÑO) Zick RUBIN muestra que hemos subestimado el papel que pueden jugar los amigos en el desarrollo infantil, ya sea cognoscitivo, social o emocional. Describe el crecimiento de las destrezas sociales de los niños, los problemas experimentados por los que carecen de amistad, la evolución de la aptitud para autocompararse y autocontrastarse con sus iguales, y traza los rasgos del cambiante modelo de las amistades desde la edad más temprana hasta la adolescencia. Asimismo demuestra cómo la naturaleza de las amistades de un niño puede no sólo marcar la diferencia entre su felicidad o infelicidad en la infancia, sino también determinar gran parte de su ajuste social en la vida adulta.",180,es,5,1
9780736412360,Employee Handbook,Lisa Papademetriou,2001,RH/Disney,Juvenile Fiction,"When you work at a place called Monsters, Inc., the dress code and sick day policies can be pretty strange. This employee handbook is guaranteed to keep every young monster laughing and screaming for more! Based on the Disney/Pixar animated feature, scheduled for release in November. Illustrations.",68,en,,
9780140132465,Reports from the Holocaust,Larry Kramer,1990,,Health & Fitness,"Author of ""Faggots"" and the screenplay for ""Women in Love"", Kramer is also co-founder of America's first AIDS service organization, Gay Men's Health Crisis. This work is a collection of Kramer's central articles, over a period of ten years, together with a new essay on the current state of AIDS.",324,en,,
9781897648001,Spiderwoman's Third Avenue Rhapsody,Mary O'Donnell,1993,Poolbeg Press,Poetry,,108,en,,
9780553244847,Journey to Stonehenge,Fred Graver,1985,Bantam Books,Juvenile Fiction,As a reporter covering Stonehenge you make some startling discoveries and must decide what to do next.,132,en,,
9780821764664,Her Only Hero,Jo Ann Ferguson,2000,Zebra Books,Fiction,"In an attempt to meet her fiance in Nicaragua, Arielle stows away on a ship until she is discovered by the arrogant captain. He takes her prisoner until she can be returned to Boston. In the close quarters, she finds a passion with the captain like she's never known before.",324,en,,
9780142437223,The Divine Comedy,Dante Alighieri,2002,Penguin,Poetry,"An acclaimed translation of Dante Alighieri's The Divine Comedy Volume 1: Inferno that retains all the style, power and meaning of the original A Penguin Classic This vigorous translation of Inferno preserves Dante's simple, natural style, and captures the swift movement of the original Italian verse. Mark Musa's blank verse rendition of the poet's journey through the circles of hell recreates for the modern reader the rich meanings that Dante's poem had for his contemporaries. Musa's introduction and commentaries on each of the cantos brilliantly illuminate the text. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",433,en,,
9780590328890,You're No Friend of Mine,Emily Chase,1984,,Conduct of life,"Dana and Shelley are fighting all the time, just when Faith has some important decisions of her own to make. Can things get worse for the girls of Canby Hall.",180,en,,
9781574901511,Two for the Dough,Janet Evanovich,1998,Thomas T. Beeler Publisher,Bail bond agents,"Pursuing Kenny Mancuso, who fled after inadvertently shooting his best friend, New Jersey bounty hunter Stephanie Plum becomes involved in an all-out manhunt for gunrunners and illegal weapons and is pursued by vice cop Joe Morelli.",0,en,,
9780307168405,Little Critter's Read-it-yourself Storybook,,1993,Golden Books,Animals,"Compiles six favorite Golden Easy Readers, This Is My House, These Are My Pets, Little Sister's Birthday, This Is My School, This Is My Friend, and Staying Overnight into one fun-filled volume.",192,en,,
9780312269975,The Sweet by and by,Jeanne Mackin,2001,Macmillan,Fiction,"As journalist Helen West is researching an article on Maggie Fox, the founder of American Spiritualism, she comes to believe that the spirit of her dead lover is trying to communicate with her.",310,en,,
